Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS06035	24	21	18	13	17	32	31	17	6	13	15	25
HC660_RS06040	9	8	14	12	4	11	9	9	9	7	3	13
HC660_RS06045	533	487	402	444	331	569	468	313	305	300	317	301
HC660_RS06050	98	35	80	43	43	66	29	37	68	44	38	43
HC660_RS06055	156	169	402	112	143	148	139	66	107	60	78	120
HC660_RS06060	111	125	122	88	53	80	75	65	102	97	57	100
HC660_RS06065	217	341	215	281	166	331	312	157	122	159	198	278
HC660_RS06070	74	127	50	51	76	74	92	65	23	26	44	94
HC660_RS06075	4	4	6	2	5	4	11	4	2	9	5	5
HC660_RS06080	1	0	6	3	0	0	2	0	2	0	2	4
HC660_RS06085	16	15	29	12	11	13	14	12	38	5	5	17
HC660_RS06090	140	92	94	81	66	91	79	79	137	45	47	97
HC660_RS06095	65	86	43	42	46	55	74	29	52	23	39	67
HC660_RS06100	57	67	54	45	31	93	34	34	54	21	34	63
HC660_RS06105	874	799	542	917	524	961	727	537	625	501	729	681
HC660_RS06110	4736	1241	2462	2649	1904	2161	1994	3137	4687	1311	793	587
HC660_RS06115	3254	1253	1802	1876	1301	1664	1561	2096	3354	835	732	489
HC660_RS06120	68	113	50	82	58	109	58	44	39	39	47	69
HC660_RS06125	83	129	84	98	76	179	89	69	53	58	73	113
HC660_RS06130	256	338	292	277	171	361	222	166	161	188	153	280
HC660_RS06135	283	256	288	280	250	509	274	192	144	212	168	316
HC660_RS06140	330	353	335	276	287	462	390	274	359	260	193	286
HC660_RS06145	102	79	74	84	70	117	86	62	67	54	92	93
HC660_RS06150	46	62	85	30	49	55	35	36	53	83	48	53
HC660_RS06155	20	49	16	17	19	33	45	8	15	32	16	35
HC660_RS06160	57	38	375	28	89	100	40	75	14	144	37	96
HC660_RS06165	70	38	358	31	60	81	36	115	5	59	62	119
